TESS_time TESS_flux TESS_fluxerr
2.459124393709118478e+06 1.001961749989913830e+00 2.539877955730191882e-03
2.459124395098017529e+06 1.000528156869682439e+00 2.539525079991278300e-03
2.459124396486916579e+06 1.001129776199805033e+00 2.539335625809103526e-03
2.459124397875815630e+06 9.959914542163494922e-01 2.535239521449363185e-03
2.459124399264714681e+06 9.999666137370621932e-01 2.539200089226293158e-03
2.459124400653613731e+06 9.987692611137494181e-01 2.536520875960923162e-03
2.459124402042512782e+06 9.999879569476937125e-01 2.539520112466051201e-03
2.459124403431411833e+06 1.001309949561689727e+00 2.541039868307215770e-03
2.459124404820310883e+06 9.995879249636716590e-01 2.538483461165356569e-03
2.459124406209209934e+06 9.966787106698753451e-01 2.533931214700303226e-03
2.459124407598108985e+06 9.967915018119936077e-01 2.539848585296842175e-03
2.459124408987008035e+06 9.959511027885712409e-01 2.536650530529578704e-03
2.459124410375907086e+06 1.000370794655365048e+00 2.539592601666448238e-03
2.459124411764805671e+06 9.993538175878836638e-01 2.538434049885710583e-03
2.459124413153704721e+06 1.001654460603892849e+00 2.539703167651762624e-03
2.459124414542603772e+06 1.001694814894111607e+00 2.539964499696410576e-03
2.459124415931502823e+06 1.002783321374864478e+00 2.539683792027149205e-03
2.459124417320401873e+06 9.968250773725559899e-01 2.536983910733510775e-03
2.459124418709300924e+06 9.954439224979744205e-01 2.534803863476243601e-03
2.459124420098199975e+06 1.001886303906822873e+00 2.538653741161609606e-03
2.459124421487098560e+06 9.983174267896993692e-01 2.537442688019092649e-03
2.459124422875997145e+06 1.000186469836948255e+00 2.541338370695211263e-03
2.459124424264896195e+06 9.981051292313773970e-01 2.538639705788880117e-03
2.459124425653795246e+06 9.993096515767750931e-01 2.536117694871884917e-03
2.459124427042694297e+06 9.998406266277309884e-01 2.537377074421409955e-03
2.459124428431593347e+06 1.001559598438528154e+00 2.541517994092795142e-03
2.459124429820491932e+06 1.001733416145860200e+00 2.538236922235598356e-03
2.459124431209390983e+06 1.002894777197296916e+00 2.541117732179650965e-03
2.459124432598290034e+06 9.947458255473577982e-01 2.534061977313179816e-03
2.459124433987189084e+06 1.000432550896822148e+00 2.540380846679742011e-03
2.459124435376088135e+06 9.991304086015749819e-01 2.539098828456922037e-03
2.459124436764987186e+06 9.974201879426336514e-01 2.537969898401249823e-03
2.459124438153886236e+06 1.001488824449585868e+00 2.539240745613213432e-03
2.459124439542784356e+06 9.999852134577873475e-01 2.538179909966684685e-03
2.459124440931683406e+06 1.000259933507871235e+00 2.539559467066056665e-03
2.459124442320582457e+06 1.001635540546987224e+00 2.539131537001988910e-03
2.459124443709481508e+06 9.981782575154906079e-01 2.537981926592368723e-03
2.459124445098380558e+06 9.950560472544813795e-01 2.535583418773465231e-03
2.459124446487279609e+06 1.003929242194254945e+00 2.542198147294093876e-03
2.459124447876178194e+06 1.002579525443324515e+00 2.541782941655247943e-03
2.459124449265076779e+06 1.000026294454940956e+00 2.537121138219378472e-03
2.459124450653975829e+06 1.002277773105457070e+00 2.539319137010755123e-03
2.459124452042874880e+06 1.000624909174068211e+00 2.540828524939362561e-03
2.459124453431773931e+06 1.002559643671801615e+00 2.540779946566426323e-03
2.459124454820672981e+06 9.980589789135835277e-01 2.539171471158297496e-03
2.459124456209571566e+06 9.981666208578356958e-01 2.538814004097503935e-03
2.459124457598470151e+06 1.003008478738121045e+00 2.543204782644854604e-03
2.459124458987369202e+06 1.001872325392811014e+00 2.538455893987870936e-03
2.459124460376268253e+06 1.000866372380618596e+00 2.537754203334499983e-03
2.459124461765167303e+06 9.998749518775483791e-01 2.538346418224348734e-03
2.459124463154065888e+06 9.957181522098604853e-01 2.534551796706099001e-03
2.459124464542964939e+06 9.982415130574830986e-01 2.536934370678717125e-03
2.459124465931863524e+06 9.978564023045598530e-01 2.537429787290129690e-03
2.459124467320762575e+06 9.987891330545934920e-01 2.538042599845339968e-03
2.459124468709661160e+06 9.959949900577267368e-01 2.534949854579199822e-03
2.459124470098560210e+06 9.987109179900436340e-01 2.538527838337193126e-03
2.459124471487459261e+06 1.000507949999575041e+00 2.539623242455868717e-03
2.459124472876358312e+06 1.000233702026771310e+00 2.538140205894630266e-03
2.459124474265256897e+06 1.003721578753869359e+00 2.540051388817801074e-03
2.459124475654155482e+06 9.983031365412406988e-01 2.541217858062811037e-03
